Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de medicamento;Recetado;Total
Ambos sexos;Total;Andalucía;Medicinas para bajar la fiebre;No recetado;3,13
Ambos sexos;Total;Andalucía;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Andalucía;Reconstituyentes (vitaminas, minerales, tónicos);Recetado;68,31
Ambos sexos;Total;Andalucía;Reconstituyentes (vitaminas, minerales, tónicos);No recetado;31,69
Ambos sexos;Total;Andalucía;Laxantes;TOTAL;100,00
Ambos sexos;Total;Andalucía;Laxantes;Recetado;74,21
Ambos sexos;Total;Andalucía;Laxantes;No recetado;25,79
Ambos sexos;Total;Andalucía;Antibióticos;TOTAL;100,00
Ambos sexos;Total;Andalucía;Antibióticos;Recetado;97,49
Ambos sexos;Total;Andalucía;Antibióticos;No recetado;2,51
Ambos sexos;Total;Andalucía;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Andalucía;Tranquilizantes, relajantes, pastillas para dormir;Recetado;98,67
Ambos sexos;Total;Andalucía;Tranquilizantes, relajantes, pastillas para dormir;No recetado;1,33
Ambos sexos;Total;Andalucía;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para la alergia;Recetado;98,96
Ambos sexos;Total;Andalucía;Medicamentos para la alergia;No recetado;1,04
Ambos sexos;Total;Andalucía;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el reuma;Recetado;100,00
Ambos sexos;Total;Andalucía;Medicinas para el reuma;No recetado;0,00
Ambos sexos;Total;Andalucía;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el corazón;Recetado;100,00
Ambos sexos;Total;Andalucía;Medicinas para el corazón;No recetado;0,00
Ambos sexos;Total;Andalucía;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para la tensión arterial;Recetado;100,00
Ambos sexos;Total;Andalucía;Medicinas para la tensión arterial;No recetado;0,00
Ambos sexos;Total;Andalucía;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el estómago y/o alteraciones digestivas;Recetado;96,37
Ambos sexos;Total;Andalucía;Medicinas para el estómago y/o alteraciones digestivas;No recetado;3,63
Ambos sexos;Total;Andalucía;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Andalucía;Antidepresivos, estimulantes;Recetado;100,00
Ambos sexos;Total;Andalucía;Antidepresivos, estimulantes;No recetado;0,00
Ambos sexos;Total;Andalucía;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Andalucía;Píldoras para no quedar embarazada;Recetado;0,00
Ambos sexos;Total;Andalucía;Píldoras para no quedar embarazada;No recetado;0,00
Ambos sexos;Total;Andalucía;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Andalucía;Hormonas para la menopausia;Recetado;0,00
Ambos sexos;Total;Andalucía;Hormonas para la menopausia;No recetado;0,00
Ambos sexos;Total;Andalucía;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para el colesterol;Recetado;99,41
Ambos sexos;Total;Andalucía;Medicamentos para el colesterol;No recetado;0,59
Ambos sexos;Total;Andalucía;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para la diabetes;Recetado;100,00
Ambos sexos;Total;Andalucía;Medicamentos para la diabetes;No recetado;0,00
Ambos sexos;Total;Andalucía;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para el tiroides;Recetado;100,00
Ambos sexos;Total;Andalucía;Medicamentos para el tiroides;No recetado;0,00
Ambos sexos;Total;Andalucía;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Andalucía;Otros medicamentos;Recetado;96,95
Ambos sexos;Total;Andalucía;Otros medicamentos;No recetado;3,05
Ambos sexos;Total;Aragón;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el catarro, gripe, garganta, bronquios;Recetado;83,33
Ambos sexos;Total;Aragón;Medicinas para el catarro, gripe, garganta, bronquios;No recetado;16,67
Ambos sexos;Total;Aragón;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el dolor;Recetado;77,37
Ambos sexos;Total;Aragón;Medicinas para el dolor;No recetado;22,63
Ambos sexos;Total;Aragón;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para bajar la fiebre;Recetado;82,56
Ambos sexos;Total;Aragón;Medicinas para bajar la fiebre;No recetado;17,44
Ambos sexos;Total;Aragón;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Aragón;Reconstituyentes (vitaminas, minerales, tónicos);Recetado;75,85
Ambos sexos;Total;Aragón;Reconstituyentes (vitaminas, minerales, tónicos);No recetado;24,15
Ambos sexos;Total;Aragón;Laxantes;TOTAL;100,00
Ambos sexos;Total;Aragón;Laxantes;Recetado;82,60
Ambos sexos;Total;Aragón;Laxantes;No recetado;17,40
Ambos sexos;Total;Aragón;Antibióticos;TOTAL;100,00
Ambos sexos;Total;Aragón;Antibióticos;Recetado;100,00
Ambos sexos;Total;Aragón;Antibióticos;No recetado;0,00
Ambos sexos;Total;Aragón;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Aragón;Tranquilizantes, relajantes, pastillas para dormir;Recetado;98,03
Ambos sexos;Total;Aragón;Tranquilizantes, relajantes, pastillas para dormir;No recetado;1,97
Ambos sexos;Total;Aragón;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para la alergia;Recetado;99,26
Ambos sexos;Total;Aragón;Medicamentos para la alergia;No recetado;0,74
Ambos sexos;Total;Aragón;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el reuma;Recetado;100,00
Ambos sexos;Total;Aragón;Medicinas para el reuma;No recetado;0,00
Ambos sexos;Total;Aragón;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el corazón;Recetado;100,00
Ambos sexos;Total;Aragón;Medicinas para el corazón;No recetado;0,00
Ambos sexos;Total;Aragón;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para la tensión arterial;Recetado;100,00
Ambos sexos;Total;Aragón;Medicinas para la tensión arterial;No recetado;0,00
Ambos sexos;Total;Aragón;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el estómago y/o alteraciones digestivas;Recetado;98,68
Ambos sexos;Total;Aragón;Medicinas para el estómago y/o alteraciones digestivas;No recetado;1,32
Ambos sexos;Total;Aragón;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Aragón;Antidepresivos, estimulantes;Recetado;100,00
Ambos sexos;Total;Aragón;Antidepresivos, estimulantes;No recetado;0,00
Ambos sexos;Total;Aragón;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Aragón;Píldoras para no quedar embarazada;Recetado;0,00
Ambos sexos;Total;Aragón;Píldoras para no quedar embarazada;No recetado;0,00
Ambos sexos;Total;Aragón;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Aragón;Hormonas para la menopausia;Recetado;0,00
Ambos sexos;Total;Aragón;Hormonas para la menopausia;No recetado;0,00
Ambos sexos;Total;Aragón;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para el colesterol;Recetado;98,09
Ambos sexos;Total;Aragón;Medicamentos para el colesterol;No recetado;1,91
Ambos sexos;Total;Aragón;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para la diabetes;Recetado;100,00
Ambos sexos;Total;Aragón;Medicamentos para la diabetes;No recetado;0,00
Ambos sexos;Total;Aragón;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para el tiroides;Recetado;100,00
Ambos sexos;Total;Aragón;Medicamentos para el tiroides;No recetado;0,00
Ambos sexos;Total;Aragón;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Aragón;Otros medicamentos;Recetado;60,78
Ambos sexos;Total;Aragón;Otros medicamentos;No recetado;39,22
Ambos sexos;Total;Asturias (Principado de);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el catarro, gripe, garganta, bronquios;Recetado;94,26
Ambos sexos;Total;Asturias (Principado de);Medicinas para el catarro, gripe, garganta, bronquios;No recetado;5,74
Ambos sexos;Total;Asturias (Principado de);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el dolor;Recetado;94,33
Ambos sexos;Total;Asturias (Principado de);Medicinas para el dolor;No recetado;5,67
Ambos sexos;Total;Asturias (Principado de);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para bajar la fiebre;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para bajar la fiebre;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Reconstituyentes (vitaminas, minerales, tónicos);Recetado;62,95
Ambos sexos;Total;Asturias (Principado de);Reconstituyentes (vitaminas, minerales, tónicos);No recetado;37,05
Ambos sexos;Total;Asturias (Principado de);Laxantes;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Laxantes;Recetado;75,65
Ambos sexos;Total;Asturias (Principado de);Laxantes;No recetado;24,35
Ambos sexos;Total;Asturias (Principado de);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Antibióticos;Recetado;93,99
Ambos sexos;Total;Asturias (Principado de);Antibióticos;No recetado;6,01
Ambos sexos;Total;Asturias (Principado de);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Tranquilizantes, relajantes, pastillas para dormir;Recetado;99,43
Ambos sexos;Total;Asturias (Principado de);Tranquilizantes, relajantes, pastillas para dormir;No recetado;0,57
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la alergia;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la alergia;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el reuma;Recetado;96,61
Ambos sexos;Total;Asturias (Principado de);Medicinas para el reuma;No recetado;3,39
Ambos sexos;Total;Asturias (Principado de);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el corazón;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el corazón;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para la tensión arterial;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para la tensión arterial;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el estómago y/o alteraciones digestivas;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el estómago y/o alteraciones digestivas;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Antidepresivos, estimulantes;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Antidepresivos, estimulantes;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Asturias (Principado de);Píldoras para no quedar embarazada;Recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Píldoras para no quedar embarazada;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Asturias (Principado de);Hormonas para la menopausia;Recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Hormonas para la menopausia;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el colesterol;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el colesterol;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la diabetes;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la diabetes;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el tiroides;Recetado;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el tiroides;No recetado;0,00
Ambos sexos;Total;Asturias (Principado de);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Otros medicamentos;Recetado;99,31
Ambos sexos;Total;Asturias (Principado de);Otros medicamentos;No recetado;0,69
Ambos sexos;Total;Balears (Illes);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el catarro, gripe, garganta, bronquios;Recetado;70,49
Ambos sexos;Total;Balears (Illes);Medicinas para el catarro, gripe, garganta, bronquios;No recetado;29,51
Ambos sexos;Total;Balears (Illes);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el dolor;Recetado;62,29
Ambos sexos;Total;Balears (Illes);Medicinas para el dolor;No recetado;37,71
Ambos sexos;Total;Balears (Illes);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para bajar la fiebre;Recetado;67,12
Ambos sexos;Total;Balears (Illes);Medicinas para bajar la fiebre;No recetado;32,88
Ambos sexos;Total;Balears (Illes);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Reconstituyentes (vitaminas, minerales, tónicos);Recetado;34,83
Ambos sexos;Total;Balears (Illes);Reconstituyentes (vitaminas, minerales, tónicos);No recetado;65,17
Ambos sexos;Total;Balears (Illes);Laxantes;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Laxantes;Recetado;32,00
Ambos sexos;Total;Balears (Illes);Laxantes;No recetado;68,00
Ambos sexos;Total;Balears (Illes);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Antibióticos;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Antibióticos;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Tranquilizantes, relajantes, pastillas para dormir;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Tranquilizantes, relajantes, pastillas para dormir;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la alergia;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la alergia;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el reuma;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el reuma;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el corazón;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el corazón;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para la tensión arterial;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para la tensión arterial;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el estómago y/o alteraciones digestivas;Recetado;85,92
Ambos sexos;Total;Balears (Illes);Medicinas para el estómago y/o alteraciones digestivas;No recetado;14,08
Ambos sexos;Total;Balears (Illes);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Antidepresivos, estimulantes;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Antidepresivos, estimulantes;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Balears (Illes);Píldoras para no quedar embarazada;Recetado;0,00
Ambos sexos;Total;Balears (Illes);Píldoras para no quedar embarazada;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Balears (Illes);Hormonas para la menopausia;Recetado;0,00
Ambos sexos;Total;Balears (Illes);Hormonas para la menopausia;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el colesterol;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el colesterol;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la diabetes;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la diabetes;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el tiroides;Recetado;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el tiroides;No recetado;0,00
Ambos sexos;Total;Balears (Illes);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Otros medicamentos;Recetado;88,54
Ambos sexos;Total;Balears (Illes);Otros medicamentos;No recetado;11,46
Ambos sexos;Total;Canarias;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el catarro, gripe, garganta, bronquios;Recetado;91,55
Ambos sexos;Total;Canarias;Medicinas para el catarro, gripe, garganta, bronquios;No recetado;8,45
Ambos sexos;Total;Canarias;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el dolor;Recetado;92,09
Ambos sexos;Total;Canarias;Medicinas para el dolor;No recetado;7,91
Ambos sexos;Total;Canarias;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para bajar la fiebre;Recetado;100,00
Ambos sexos;Total;Canarias;Medicinas para bajar la fiebre;No recetado;0,00
Ambos sexos;Total;Canarias;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Canarias;Reconstituyentes (vitaminas, minerales, tónicos);Recetado;79,89
Ambos sexos;Total;Canarias;Reconstituyentes (vitaminas, minerales, tónicos);No recetado;20,11
Ambos sexos;Total;Canarias;Laxantes;TOTAL;100,00
Ambos sexos;Total;Canarias;Laxantes;Recetado;94,49
Ambos sexos;Total;Canarias;Laxantes;No recetado;5,51
Ambos sexos;Total;Canarias;Antibióticos;TOTAL;100,00
Ambos sexos;Total;Canarias;Antibióticos;Recetado;97,96
Ambos sexos;Total;Canarias;Antibióticos;No recetado;2,04
Ambos sexos;Total;Canarias;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Canarias;Tranquilizantes, relajantes, pastillas para dormir;Recetado;100,00
Ambos sexos;Total;Canarias;Tranquilizantes, relajantes, pastillas para dormir;No recetado;0,00
Ambos sexos;Total;Canarias;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para la alergia;Recetado;100,00
Ambos sexos;Total;Canarias;Medicamentos para la alergia;No recetado;0,00
Ambos sexos;Total;Canarias;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el reuma;Recetado;100,00
Ambos sexos;Total;Canarias;Medicinas para el reuma;No recetado;0,00
Ambos sexos;Total;Canarias;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el corazón;Recetado;100,00
Ambos sexos;Total;Canarias;Medicinas para el corazón;No recetado;0,00
Ambos sexos;Total;Canarias;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para la tensión arterial;Recetado;100,00
Ambos sexos;Total;Canarias;Medicinas para la tensión arterial;No recetado;0,00
Ambos sexos;Total;Canarias;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el estómago y/o alteraciones digestivas;Recetado;100,00
Ambos sexos;Total;Canarias;Medicinas para el estómago y/o alteraciones digestivas;No recetado;0,00
Ambos sexos;Total;Canarias;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Canarias;Antidepresivos, estimulantes;Recetado;100,00
Ambos sexos;Total;Canarias;Antidepresivos, estimulantes;No recetado;0,00
Ambos sexos;Total;Canarias;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Canarias;Píldoras para no quedar embarazada;Recetado;0,00
Ambos sexos;Total;Canarias;Píldoras para no quedar embarazada;No recetado;0,00
Ambos sexos;Total;Canarias;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Canarias;Hormonas para la menopausia;Recetado;0,00
Ambos sexos;Total;Canarias;Hormonas para la menopausia;No recetado;0,00
Ambos sexos;Total;Canarias;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para el colesterol;Recetado;100,00
Ambos sexos;Total;Canarias;Medicamentos para el colesterol;No recetado;0,00
Ambos sexos;Total;Canarias;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para la diabetes;Recetado;100,00
Ambos sexos;Total;Canarias;Medicamentos para la diabetes;No recetado;0,00
Ambos sexos;Total;Canarias;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para el tiroides;Recetado;100,00
Ambos sexos;Total;Canarias;Medicamentos para el tiroides;No recetado;0,00
Ambos sexos;Total;Canarias;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Canarias;Otros medicamentos;Recetado;100,00
Ambos sexos;Total;Canarias;Otros medicamentos;No recetado;0,00
Ambos sexos;Total;Cantabria;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
