Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de medicamento;Sí o no;Total
Ambos sexos;Total;Aragón;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el reuma;Sí;4,10
Ambos sexos;Total;Aragón;Medicinas para el reuma;No;95,90
Ambos sexos;Total;Aragón;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el corazón;Sí;4,72
Ambos sexos;Total;Aragón;Medicinas para el corazón;No;95,28
Ambos sexos;Total;Aragón;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para la tensión arterial;Sí;19,46
Ambos sexos;Total;Aragón;Medicinas para la tensión arterial;No;80,54
Ambos sexos;Total;Aragón;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el estómago y/o alteraciones digestivas;Sí;10,41
Ambos sexos;Total;Aragón;Medicinas para el estómago y/o alteraciones digestivas;No;89,59
Ambos sexos;Total;Aragón;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Aragón;Antidepresivos, estimulantes;Sí;4,56
Ambos sexos;Total;Aragón;Antidepresivos, estimulantes;No;95,44
Ambos sexos;Total;Aragón;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Aragón;Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Aragón;Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Aragón;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Aragón;Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Aragón;Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Aragón;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para el colesterol;Sí;15,85
Ambos sexos;Total;Aragón;Medicamentos para el colesterol;No;84,15
Ambos sexos;Total;Aragón;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para la diabetes;Sí;5,89
Ambos sexos;Total;Aragón;Medicamentos para la diabetes;No;94,11
Ambos sexos;Total;Aragón;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para el tiroides;Sí;4,68
Ambos sexos;Total;Aragón;Medicamentos para el tiroides;No;95,32
Ambos sexos;Total;Aragón;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Aragón;Otros medicamentos;Sí;26,07
Ambos sexos;Total;Aragón;Otros medicamentos;No;73,93
Ambos sexos;Total;Asturias (Principado de);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el catarro, gripe, garganta, bronquios;Sí;5,06
Ambos sexos;Total;Asturias (Principado de);Medicinas para el catarro, gripe, garganta, bronquios;No;94,94
Ambos sexos;Total;Asturias (Principado de);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el dolor;Sí;20,39
Ambos sexos;Total;Asturias (Principado de);Medicinas para el dolor;No;79,61
Ambos sexos;Total;Asturias (Principado de);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para bajar la fiebre;Sí;1,07
Ambos sexos;Total;Asturias (Principado de);Medicinas para bajar la fiebre;No;98,93
Ambos sexos;Total;Asturias (Principado de);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Reconstituyentes (vitaminas, minerales, tónicos);Sí;4,88
Ambos sexos;Total;Asturias (Principado de);Reconstituyentes (vitaminas, minerales, tónicos);No;95,12
Ambos sexos;Total;Asturias (Principado de);Laxantes;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Laxantes;Sí;0,90
Ambos sexos;Total;Asturias (Principado de);Laxantes;No;99,10
Ambos sexos;Total;Asturias (Principado de);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Antibióticos;Sí;1,82
Ambos sexos;Total;Asturias (Principado de);Antibióticos;No;98,18
Ambos sexos;Total;Asturias (Principado de);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Tranquilizantes, relajantes, pastillas para dormir;Sí;11,68
Ambos sexos;Total;Asturias (Principado de);Tranquilizantes, relajantes, pastillas para dormir;No;88,32
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la alergia;Sí;2,05
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la alergia;No;97,95
Ambos sexos;Total;Asturias (Principado de);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el reuma;Sí;3,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el reuma;No;97,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el corazón;Sí;6,84
Ambos sexos;Total;Asturias (Principado de);Medicinas para el corazón;No;93,16
Ambos sexos;Total;Asturias (Principado de);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para la tensión arterial;Sí;19,97
Ambos sexos;Total;Asturias (Principado de);Medicinas para la tensión arterial;No;80,03
Ambos sexos;Total;Asturias (Principado de);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicinas para el estómago y/o alteraciones digestivas;Sí;7,97
Ambos sexos;Total;Asturias (Principado de);Medicinas para el estómago y/o alteraciones digestivas;No;92,03
Ambos sexos;Total;Asturias (Principado de);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Antidepresivos, estimulantes;Sí;8,21
Ambos sexos;Total;Asturias (Principado de);Antidepresivos, estimulantes;No;91,79
Ambos sexos;Total;Asturias (Principado de);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Asturias (Principado de);Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Asturias (Principado de);Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Asturias (Principado de);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Asturias (Principado de);Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Asturias (Principado de);Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el colesterol;Sí;16,67
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el colesterol;No;83,33
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la diabetes;Sí;7,45
Ambos sexos;Total;Asturias (Principado de);Medicamentos para la diabetes;No;92,55
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el tiroides;Sí;4,10
Ambos sexos;Total;Asturias (Principado de);Medicamentos para el tiroides;No;95,90
Ambos sexos;Total;Asturias (Principado de);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Otros medicamentos;Sí;18,37
Ambos sexos;Total;Asturias (Principado de);Otros medicamentos;No;81,63
Ambos sexos;Total;Balears (Illes);Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el catarro, gripe, garganta, bronquios;Sí;3,50
Ambos sexos;Total;Balears (Illes);Medicinas para el catarro, gripe, garganta, bronquios;No;96,50
Ambos sexos;Total;Balears (Illes);Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el dolor;Sí;10,17
Ambos sexos;Total;Balears (Illes);Medicinas para el dolor;No;89,83
Ambos sexos;Total;Balears (Illes);Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para bajar la fiebre;Sí;2,70
Ambos sexos;Total;Balears (Illes);Medicinas para bajar la fiebre;No;97,30
Ambos sexos;Total;Balears (Illes);Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Reconstituyentes (vitaminas, minerales, tónicos);Sí;2,82
Ambos sexos;Total;Balears (Illes);Reconstituyentes (vitaminas, minerales, tónicos);No;97,18
Ambos sexos;Total;Balears (Illes);Laxantes;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Laxantes;Sí;1,17
Ambos sexos;Total;Balears (Illes);Laxantes;No;98,83
Ambos sexos;Total;Balears (Illes);Antibióticos;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Antibióticos;Sí;0,42
Ambos sexos;Total;Balears (Illes);Antibióticos;No;99,58
Ambos sexos;Total;Balears (Illes);Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Tranquilizantes, relajantes, pastillas para dormir;Sí;3,49
Ambos sexos;Total;Balears (Illes);Tranquilizantes, relajantes, pastillas para dormir;No;96,51
Ambos sexos;Total;Balears (Illes);Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la alergia;Sí;0,13
Ambos sexos;Total;Balears (Illes);Medicamentos para la alergia;No;99,87
Ambos sexos;Total;Balears (Illes);Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el reuma;Sí;0,41
Ambos sexos;Total;Balears (Illes);Medicinas para el reuma;No;99,59
Ambos sexos;Total;Balears (Illes);Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el corazón;Sí;1,41
Ambos sexos;Total;Balears (Illes);Medicinas para el corazón;No;98,59
Ambos sexos;Total;Balears (Illes);Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para la tensión arterial;Sí;3,96
Ambos sexos;Total;Balears (Illes);Medicinas para la tensión arterial;No;96,04
Ambos sexos;Total;Balears (Illes);Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicinas para el estómago y/o alteraciones digestivas;Sí;3,56
Ambos sexos;Total;Balears (Illes);Medicinas para el estómago y/o alteraciones digestivas;No;96,44
Ambos sexos;Total;Balears (Illes);Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Antidepresivos, estimulantes;Sí;1,96
Ambos sexos;Total;Balears (Illes);Antidepresivos, estimulantes;No;98,04
Ambos sexos;Total;Balears (Illes);Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Balears (Illes);Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Balears (Illes);Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Balears (Illes);Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Balears (Illes);Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Balears (Illes);Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el colesterol;Sí;2,08
Ambos sexos;Total;Balears (Illes);Medicamentos para el colesterol;No;97,92
Ambos sexos;Total;Balears (Illes);Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para la diabetes;Sí;1,11
Ambos sexos;Total;Balears (Illes);Medicamentos para la diabetes;No;98,89
Ambos sexos;Total;Balears (Illes);Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Medicamentos para el tiroides;Sí;0,65
Ambos sexos;Total;Balears (Illes);Medicamentos para el tiroides;No;99,35
Ambos sexos;Total;Balears (Illes);Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Otros medicamentos;Sí;3,91
Ambos sexos;Total;Balears (Illes);Otros medicamentos;No;96,09
Ambos sexos;Total;Canarias;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el catarro, gripe, garganta, bronquios;Sí;5,97
Ambos sexos;Total;Canarias;Medicinas para el catarro, gripe, garganta, bronquios;No;94,03
Ambos sexos;Total;Canarias;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el dolor;Sí;35,21
Ambos sexos;Total;Canarias;Medicinas para el dolor;No;64,79
Ambos sexos;Total;Canarias;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para bajar la fiebre;Sí;1,72
Ambos sexos;Total;Canarias;Medicinas para bajar la fiebre;No;98,28
Ambos sexos;Total;Canarias;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Canarias;Reconstituyentes (vitaminas, minerales, tónicos);Sí;8,31
Ambos sexos;Total;Canarias;Reconstituyentes (vitaminas, minerales, tónicos);No;91,69
Ambos sexos;Total;Canarias;Laxantes;TOTAL;100,00
Ambos sexos;Total;Canarias;Laxantes;Sí;1,89
Ambos sexos;Total;Canarias;Laxantes;No;98,11
Ambos sexos;Total;Canarias;Antibióticos;TOTAL;100,00
Ambos sexos;Total;Canarias;Antibióticos;Sí;3,86
Ambos sexos;Total;Canarias;Antibióticos;No;96,14
Ambos sexos;Total;Canarias;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Canarias;Tranquilizantes, relajantes, pastillas para dormir;Sí;15,94
Ambos sexos;Total;Canarias;Tranquilizantes, relajantes, pastillas para dormir;No;84,06
Ambos sexos;Total;Canarias;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para la alergia;Sí;4,84
Ambos sexos;Total;Canarias;Medicamentos para la alergia;No;95,16
Ambos sexos;Total;Canarias;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el reuma;Sí;1,52
Ambos sexos;Total;Canarias;Medicinas para el reuma;No;98,48
Ambos sexos;Total;Canarias;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el corazón;Sí;5,06
Ambos sexos;Total;Canarias;Medicinas para el corazón;No;94,94
Ambos sexos;Total;Canarias;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para la tensión arterial;Sí;19,38
Ambos sexos;Total;Canarias;Medicinas para la tensión arterial;No;80,62
Ambos sexos;Total;Canarias;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicinas para el estómago y/o alteraciones digestivas;Sí;15,20
Ambos sexos;Total;Canarias;Medicinas para el estómago y/o alteraciones digestivas;No;84,80
Ambos sexos;Total;Canarias;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Canarias;Antidepresivos, estimulantes;Sí;7,24
Ambos sexos;Total;Canarias;Antidepresivos, estimulantes;No;92,76
Ambos sexos;Total;Canarias;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Canarias;Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Canarias;Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Canarias;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Canarias;Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Canarias;Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Canarias;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para el colesterol;Sí;13,68
Ambos sexos;Total;Canarias;Medicamentos para el colesterol;No;86,32
Ambos sexos;Total;Canarias;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para la diabetes;Sí;11,07
Ambos sexos;Total;Canarias;Medicamentos para la diabetes;No;88,93
Ambos sexos;Total;Canarias;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Canarias;Medicamentos para el tiroides;Sí;3,48
Ambos sexos;Total;Canarias;Medicamentos para el tiroides;No;96,52
Ambos sexos;Total;Canarias;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Canarias;Otros medicamentos;Sí;19,29
Ambos sexos;Total;Canarias;Otros medicamentos;No;80,71
Ambos sexos;Total;Cantabria;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Cantabria;Medicinas para el catarro, gripe, garganta, bronquios;Sí;3,92
Ambos sexos;Total;Cantabria;Medicinas para el catarro, gripe, garganta, bronquios;No;96,08
Ambos sexos;Total;Cantabria;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Cantabria;Medicinas para el dolor;Sí;21,92
Ambos sexos;Total;Cantabria;Medicinas para el dolor;No;78,08
Ambos sexos;Total;Cantabria;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Cantabria;Medicinas para bajar la fiebre;Sí;0,56
Ambos sexos;Total;Cantabria;Medicinas para bajar la fiebre;No;99,44
Ambos sexos;Total;Cantabria;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Cantabria;Reconstituyentes (vitaminas, minerales, tónicos);Sí;1,49
Ambos sexos;Total;Cantabria;Reconstituyentes (vitaminas, minerales, tónicos);No;98,51
